State Name,County Name,Date Local,Local Site Name,Arithmetic Mean_ozone,1st Max Value_ozone,1st Max Hour_ozone,Arithmetic Mean_so2,1st Max Value_so2,1st Max Hour_so2,Arithmetic Mean_co,1st Max Value_co,1st Max Hour_co,Arithmetic Mean_no2,1st Max Value_no2,1st Max Hour_no2
Arizona,Maricopa,2024-02-15,JLG SUPERSITE,0.019706,0.04,10,0.579167,1.7,7,0.533333,0.9,1,22.658333,41.5,21
Arizona,Maricopa,2024-02-16,CENTRAL PHOENIX,0.024765,0.044,11,0.291667,1.0,0,0.25,0.5,0,21.0,45.0,21
Arizona,Maricopa,2024-02-16,JLG SUPERSITE,0.022588,0.043,11,0.529167,1.3,21,0.525,0.8,2,23.3625,47.8,20
Arizona,Maricopa,2024-02-17,CENTRAL PHOENIX,0.029824,0.047,11,0.208333,1.0,0,0.229167,0.6,0,18.916667,41.0,22
Arizona,Maricopa,2024-02-17,JLG SUPERSITE,0.025118,0.046,10,0.608333,1.5,22,0.470833,0.9,1,17.879167,42.6,21
Arizona,Maricopa,2024-02-18,CENTRAL PHOENIX,0.031647,0.051,11,0.208333,2.0,21,0.15,0.4,0,13.958333,42.0,21
Arizona,Maricopa,2024-02-18,JLG SUPERSITE,0.025529,0.05,10,0.629167,1.5,19,0.425,0.8,2,16.35,44.8,20
Arizona,Maricopa,2024-02-19,CENTRAL PHOENIX,0.023706,0.042,10,0.125,1.0,21,0.166667,0.4,0,15.0,37.0,21
Arizona,Maricopa,2024-02-19,JLG SUPERSITE,0.021118,0.041,10,0.504167,1.5,1,0.454167,0.8,0,18.858333,41.0,20
Arizona,Maricopa,2024-02-20,CENTRAL PHOENIX,0.024,0.038,11,0.166667,1.0,11,0.183333,0.4,0,17.083333,38.0,20
Arizona,Maricopa,2024-02-20,JLG SUPERSITE,0.020706,0.037,10,0.490476,1.2,21,0.447059,0.7,1,16.758333,39.1,20
Arizona,Maricopa,2024-02-21,CENTRAL PHOENIX,0.025706,0.038,10,0.086957,1.0,7,0.133333,0.3,0,11.181818,28.0,6
Arizona,Maricopa,2024-02-21,JLG SUPERSITE,0.021824,0.036,10,0.529167,1.2,9,0.291667,0.6,0,11.066667,25.9,22
Arizona,Maricopa,2024-02-22,CENTRAL PHOENIX,0.027824,0.044,12,0.125,1.0,8,0.145833,0.2,5,15.833333,26.0,2
Arizona,Maricopa,2024-02-22,JLG SUPERSITE,0.023706,0.042,11,0.358333,1.4,9,0.354167,0.5,8,18.565,32.2,20
Arizona,Maricopa,2024-02-23,CENTRAL PHOENIX,0.019294,0.04,11,0.333333,2.0,20,0.316667,0.6,23,21.875,38.0,20
Arizona,Maricopa,2024-02-23,JLG SUPERSITE,0.018471,0.039,10,0.533333,1.8,8,0.445833,0.7,23,19.416667,37.0,20
Arizona,Maricopa,2024-02-24,CENTRAL PHOENIX,0.022588,0.038,11,0.541667,2.0,23,0.3,0.7,1,22.916667,41.0,22
Arizona,Maricopa,2024-02-24,JLG SUPERSITE,0.019176,0.038,10,0.8125,1.5,22,0.495833,0.9,1,21.741667,44.5,20
Arizona,Maricopa,2024-02-25,CENTRAL PHOENIX,0.027824,0.049,10,0.083333,1.0,22,0.216667,0.7,0,13.375,37.0,23
Arizona,Maricopa,2024-02-25,JLG SUPERSITE,0.022765,0.047,10,0.583333,1.2,19,0.491667,1.0,1,19.708333,42.1,21
Arizona,Maricopa,2024-02-26,CENTRAL PHOENIX,0.011294,0.022,11,0.291667,2.0,12,0.254167,0.4,0,25.0,37.0,20
Arizona,Maricopa,2024-02-26,JLG SUPERSITE,0.013529,0.023,10,0.74,1.9,13,0.53125,0.7,0,26.345455,40.7,13
Arizona,Maricopa,2024-02-27,CENTRAL PHOENIX,0.023941,0.04,11,0.25,1.0,1,0.254167,0.5,2,18.291667,34.0,0
Arizona,Maricopa,2024-02-27,JLG SUPERSITE,0.019,0.037,10,0.8125,1.8,9,0.4,0.6,1,17.668182,34.2,21
Arizona,Maricopa,2024-02-28,CENTRAL PHOENIX,0.034706,0.041,12,0.166667,2.0,8,0.145833,0.3,9,12.125,34.0,8
Arizona,Maricopa,2024-02-28,JLG SUPERSITE,0.032176,0.039,11,0.675,1.7,9,0.383333,0.6,2,13.554167,32.9,9
Arizona,Maricopa,2024-02-29,CENTRAL PHOENIX,0.028588,0.044,12,0.041667,1.0,22,0.058333,0.2,22,12.833333,38.0,22
Arizona,Maricopa,2024-02-29,JLG SUPERSITE,0.027471,0.042,11,0.445833,1.2,21,0.25,0.4,22,12.358333,38.4,21
Arizona,Maricopa,2024-03-01,CENTRAL PHOENIX,0.027647,0.043,11,0.041667,1.0,10,0.104167,0.2,0,14.333333,33.0,21
Arizona,Maricopa,2024-03-01,JLG SUPERSITE,0.026765,0.042,11,0.554167,1.4,5,0.2875,0.5,1,12.9875,37.8,21
Arizona,Maricopa,2024-03-02,CENTRAL PHOENIX,0.035765,0.043,11,0.0,0.0,0,0.091667,0.2,0,9.416667,18.0,6
Arizona,Maricopa,2024-03-02,JLG SUPERSITE,0.032529,0.04,10,0.575,1.3,6,0.275,0.5,1,8.291667,15.9,0
